Nata Bilwal,G2 R2 P S M1 N1 N2 D2
Nata Kedar,G2 R2 P S M1 M2 N2 D2
Nata Malhar,G2 R2 P S M1 N1 N2 D2
Natanarayani/Atanarayana,G2 R2 P S M1 D2
Nayaki Kanada/Nayaki,R2 G1 P S M1 N1
Neelambari,G2 R2 P S M1 N1 N2 G1 D2
Pahadi,G2 R2 P S M1 N2 D2
Pancham,G2 S M1 M2 N2 D2 R1
Pancham Malkosh/PanchKauns,G1 P S M1 N1 D1
Paraj Bahar,
Paraj/Paraju,G2 R1 P S M1 M2 N2 D1
Pata bihag,G2 R2 P S M1 M2 N1 N2 G1 D2
Patadeep,R2 G1 P S M1 N2 D2
Patamanjari,G2 G1 R2 P S M1 N1 N2 D2
Piloo,G2 G1 R2 P S M1 N1 N2 D2 D1
Pooria,R1 S M2 N2 D2 G2
Pooria Dhanashree,R1 G1 P S M2 N2 G2 D1
Puriya kalyan,
Poorvi,R1 P S M2 N2 G2 D1
Poorvi Kalyani,R1 P S M2 N2 D2 G2
Prabhat Bhairav,R1 P S M1 M2 N2 G2 D1
Pradeepaki/Patadeepaki,G2 G1 R2 P S M1 N1 D2
Puriya,R1 S M2 N2 D2 G2
PuriyaDhanashri,R1 P S M2 N2 G2 D1
Rageshree/Rageshwari,G2 R2 S M1 N1 N2 D2
Rageshree Bahar,G2 G1 R2 P S M1 N1 N2 D2
Rageshri,G2 R2 S M1 N1 N2 D2
Ramdasi Malhar,G2 R2 P S M1 N1 N2 G1 D2
Ramkali,G2 R1 P S M1 M2 N2 D1
Rasaranjani,D2 S M1 N2 R2
Rewa Poorvi Ang,P S D1 R1 G2
Rewa Shree Ang,P S D1 G2 R1
Shahana,
Saheli Todi,R1 G1 P S N1 D1
Salagavarali,R1 G1 P S N1 D2
Salang Sarang,P S M1 N2 R2
Samanta Sarang,R2 P S M1 N1 N2 D2
Sampoorna Malkauns,G1 R2 P S M1 N1 D1
Sanjh/Sanjh ka Hindol,N2 S D2 G2 M2
Saranga/Brindavani Sarang,R2 P S M1 N1 N2
Saranga Malhar,G1 R2 P S M1 M2 N1 N2
Saraswati,G2 R2 P S M2 N1 D2
