AndhOLika            , S R2 M1 P N2 S          , S N2 D2 M1 R2 S
bAgEshrI             , S G2 M1 D2 N2 S         , S N2 D2 M1 P D2 G2 M1 R2 S
brindhAvanasAran'ga  , S R2 M1 P N3 S          , S N2 P M1 R2 G2 S
chiththaranjani      , S R2 G2 M1 P D2 N2      , N2 D2 P M1 G2 R2 S N2.
dharbAru             , S R2 M1 P D2 N2 S       , R2 S N2 S D2 P M1 R2 G2 G2 R2 S
dhEvAmRuthavarshiNi  , S R2 G2 M1 N2 D2 N2 S   , S N2 D2 P M1 G2 R2 S
dhEvakriya           , S R2 M1 P N2 S          , S N2 D2 N2 P M1 G2 R2 S
dhEvamanOHari        , S R2 M1 P D2 N2 S       , S N2 D2 N2 P M1 R2 S
dhilipakam           , S R2 G2 R2 M1 P N2 D2 N2 P D2 N2 S  , S N2 D2 P M1 G2 R2 S
HindhoLavasantha     , S G2 M1 P D2 N2 D2 S    , S N2 D2 P M1 D2 M1 G2 S
HindhusthAni kApi    , S R2 M1 P N3 S          , S N2 D2 N2 P M1 G2 R2 S
HusEni               , S R2 G2 M1 P N2 D2 N2 S , S N2 D1 P M1 G2 R2 S
jayamanOHari         , S R2 G2 M1 D2 S         , S N2 D2 M1 G2 R2 S
jayanArAyaNi         , S R2 G2 M1 P D2 S       , S N2 D2 P M1 G2 R2 S
jayanthasEna         , S G2 M1 P D2 S          , S N2 D2 P M1 P M1 G2 S
kAnadA               , S R2 G2 M1 D2 N2 S       , S N2 P M1 G2 M1 R2 S
kalAniDhi            , S R2 G2 M1 S P M1 D2 N2 S        , S N2 D2 P M1 G2 R2 S
kannadagowLa         , S R2 G2 M1 P N2 S       , S N2 D2 P M1 G2 S
kApijingla           , S N2 S R2 G2 M1         , M1 G2 R2 S N2 D2 N2 S
karnAtaka kApi       , S R2 G2 M1 R2 P M1 P D2 N2 S      , S N2 D2 P M1 G2 M1 R2 S
mAlavashrI           , S G2 M1 P N2 D2 N2 P D2 N2 S      , S N2 D2 P M1 G2 S
madhyamAvathi        , S R2 M1 P N2 S          , S N2 P M1 R2 S
maNirangu            , S R2 M1 P N2 S          , S N2 P M1 G2 R2 S
manjari              , S G2 R2 G2 M1 P N2 D2 N2 S       , S N2 D2 P M1 G2 R2 S
manOHari             , S G2 R2 G2 M1 P D2 S    , S D2 P M1 G2 R2 S
muKAri               , S R2 M1 P N2 D2 S       , S N2 D1 P M1 G2 R2 S
nAdhachinthAmaNi *   , S G2 M1 P N2 D2 N2 S    , S N2 D2 P M1 G2 R2 G2 S
nAdhatharan'gini     , S P M1 R2 G2 R2 S       , S P N2 D2 P M1 G2 R2 S
nAyaki               , S R2 M1 P D2 N2 D2 P S  , S N2 D2 P M1 R2 G2 R2 S
phalamanjari         , S G2 M1 D2 S            , S N2 D2 P M1 G2 M1 R2 S
panchama rAga        , S R2 D2 P N2 S          , S N2 D2 P M1 G2 R2 S
pUrnashadjam         , S R2 G2 M1 N2 S         , S N2 P M1 G2 R2 S
pushpalathika        , S R2 G2 M1 P N2 S       , S N2 P M1 G2 R2 S
rIthigowLa           , S G2 R2 G2 M1 N2 D2 M1 N2 N2 S    , S N2 D2 M1 G2 M1 P M1 G2 R2 S
rudhrapriya          , S R2 G2 M1 P D2 N2 S    , S N2 P M1 G2 R2 S
sAlakabhairavi       , S R2 M1 P D2 S          , S N2 D2 P M1 G2 R2 S
saindhavi            , N2 D2 N2 S R2 G2 M1 P D2 N2      , D2 P M1 G2 R2 S N2 D2 N2 S
sidhdhasEna          , S G2 R2 G2 M1 P D2 S    , S N2 D2 M1 P M1 R2 G2 R2 S
shrIrAga             , S R2 M1 P N2 S          , S N2 P D2 N2 P M1 R2 G2 R2 S
shrIranjani          , S R2 G2 M1 D2 N2 S      , S N2 D2 M1 G2 R2 S
sudhdha ban'gALa     , S R2 M1 P D2 S          , S D2 P M1 R2 G2 R2 S
sudhdha dhanyAsi     , S G2 M1 P N2 S          , S N2 P M1 G2 S
svarabhUshani        , S G2 M1 P D2 N2 S       , S N2 D2 P M1 R2 S
vasantha varALi 1    , S R2 M1 P D3 N3         , N3 D3 P G2 R2 S N3
vasantha varALi 2    , S R2 M1 P D3 N3         , N3 D3 P M G1 R S N
vIravasantham        , S G2 R2 M1 P S          , S N3 D3 P M1 G2 R2 S
kamalAmanOHari       , S G3 M1 P N3 S          , S N3 D1 P M1 G3 S
naLinakAnthi         , S G3 R2 M1 P N3 S       , S N3 P M1 G3 R2 S
baHudhAri            , S G3 M1 P D2 N2 S       , S N2 P M1 G3 S
balaHamsa            , S R2 M1 P D2 S          , S N2 D2 P M1 R2 M1 G3 S
