IshamanOHari,G3 R2 P S M1 N2 D2
janjUti,G3 R2 P S M1 N2 D2
jujAHuli,G3 P S M1 N2 D2
kAmbhOji,G3 R2 P S M1 N2 N3 D2
kApinArAyaNi,G3 R2 P S M1 N2 D2
kamAs,G3 R2 P S M1 N2 D2
karnAtaka bEHAg,G3 R2 P S M1 N2 D2
kedhAragowLa,G3 R2 P S M1 N2 D2
kOkilaDhvani,G3 R2 P S M1 N2 D2
kunthalavarALi,D2 P N2 M1 S
mAlavi,G3 R2 P S M1 N2 D2
mOHana,P S G3 D2 R2
nAgasvarAvaLi,G3 S M1 D2 P
nArAyaNagowLa,G3 R2 P S M1 N2 D2
nArAyani,R2 P S M1 N2 D2
nAtakuraN~ji,G3 R2 P S M1 N2 D2
navarasa kalAnidhi *,G3 R2 P S M1 N2 D2
navarasa kannada,G3 R2 P S M1 N2 D2
prathApa  varALi,G3 R2 P S M1 D2
pravAlajothi,G3 R2 P S M1 N2 D2
rAgapanjaram,R2 P S M1 N2 D2
ravichandhrika,G3 R2 S M1 N2 D2
sAma,G3 R2 P S M1 D2
saHAna,G3 R2 P S M1 N2 D2
sarasvathi manOHari,G3 R2 P S M1 N2 D2
sindhu kannada,G3 R2 P S M1 N2 D2
sudhdha tharan'gini,G3 R2 P S M1 N2 D2
supOshini,R2 P S M1 N2 D2
surati,R2 SN2D2PM1G3PM1R2S P S M1 N2
svarAvaLi,G3 R2 P S M1 N2 D2
svaravEdhi *,G3 P S M1 N2 D2
thilan'g,G3 P S M1 N2 N3
umAbharaNam,G3 R2 P S M1 N2 D2
vINA vAdhini,P S G3 N2 R2
vivardhini,G3 R2 P S M1 N2 D2
yadhukulakAmbhOji,G3 R2 P S M1 N2 D2
Arabhi,G3 R2 P S M1 N3 D2
atAna,G3 R2 P S M1 N3 D2
ban'gALa,G3 R2 P S M1 N3
begada,G3 R2 P S M1 N2 N3 D2
bEHAg,G3 R2 P S M1 N3 D2
bilaHari,G3 R2 P S M1 N3 D2
dhesAkshi,G3 R2 P S M1 N3 D2
dhEvagAndhAri,G3 R2 P S M1 N3 D2
garudaDhvani,G3 R2 P S M1 N3 D2
HamsaDhvani,P S N3 G3 R2
HindhusthAni bEHAg,G3 R2 P S M1 M2 N3 D2
janaranjani,G3 R2 P S M1 N3 D2
kadhana kuthUHalam,G3 R2 P S M1 N3 D2
kannada,G3 R2 N3. P S M1 N3 D2
kEdhAram,G3 R2 P S M1 N3
koiAHalam,G3 R2 P S M1 N3 D2
kuraN~ji,G3 R2 P S M1 N3 D2
kuthUHalam,G3 R2 P S M1 N3 D2
mAnd,G3 R2 P S M1 N3 D2
navaroj,G3 R2 P S M1 N3 D2
nIlAmbari,G3 R2 P S M1 N3 D2
pUrNachandhrika,G3 R2 P S M1 N3 D2
sindhu mandhAri,G3 R2 P S M1 N3 D2
sudhdha sAvEri,P S M1 D2 R2
ChAyAnAta,G3 R3 P S M1 N2 D2
gAnavAridhi,G3 R3 P S M1 N2 D2
gambhiranAta,G3 S N3 M1 P
nAta,G3 R3 P S M1 N3 D3
JinAvaLi,R1 G1 P S M2 N3 D1
varALi,R1 G1 P S M2 N3 D1
nabhOmaNi,R1 G1 P S M2 N2 D2
chandhrajyothi,R1 G1 P S M2 D2
vijayashrI,R1 G1 P S M2 N3
thivravAHini,R1 P S M2 N2 D2 G2
dhipaka,G3 R1 P S M2 N3 D1
mandhAri,G3 R1 P S M2 N3
rAma manOHari,G3 R1 P S M2 N2 D2
gamakakriya,G3 R1 P S M2 N3 D2
gamanakriya,G3 R1 P S M2 N3 D2
HamsAnandhi,G3 R1 S M2 N3 D2
mEchakAn'gi,G3 R1 P S M2 N3 D2
pUrvikalyANi,G3 R1 P S M2 N3 D2
vijayavasantha,G3 R1 P S M2 N3 D3
chinthAmaNi,G2 R2 P S M2 N2 D2 D1
sudhdha rAga,G2 R2 P S M2 N3
vijayanAgari,G2 R2 P S M2 D2
madhuvanthi,G2 R2 P S M2 N3 D2
ranjani,G2 R2 S M2 N3 D2
amarasenapriya,G2 R2 P S M2 N3
HamsanAdham,P S N3 R2 M2
kaikavAsi,G2 R2 P S M2 N3 D3
shruthiranjani,G3 R2 P S M2 N1 D1
gopriya,G3 R2 S M2 N2 D1
bhUshavaLi,G3 R2 P S M2 N2 D2
sarasvathi,R2 P S M2 N2 D2
HamirkalyANi,G3 R2 P S M1 M2 N3 D2
mOHanakalyANi,G3 R2 P S M2 N3 D2
sAran'ga,G3 R2 P S M1 M2 N3 D2
yamunAkalyANi,G3 R2 P S M2 D2
amRuthavarshiNi,P S N3 G3 M2
